contract,seed,condition,model,coverage,failed_simulations,n,mae,rmse,r2,bias,zero_grain_outputs
GROUP,101,available_central,APSIM,1.0,0,94,1.057126639283398,1.2468566704962167,-0.3176322579266815,-0.11209215896620972,12.0
GROUP,101,constrained_central,APSIM,1.0,0,94,0.9472207244823594,1.1783715529388432,-0.176862302937159,-0.3920059232481356,10.0
GROUP,101,data_driven,local_scratch,1.0,0,94,0.6726920343238754,0.8847260722386493,0.33659490270794545,0.2175260012125755,
GROUP,101,data_driven,supervised_transfer,1.0,0,94,1.0493959485013435,1.2355799295554892,-0.2939063455727229,0.19532811569660274,
GROUP,101,data_driven,validation_selected_weather_transfer,1.0,0,94,0.81592077167998,1.0048460850339118,0.14422372520761828,0.19327636022770656,
GROUP,101,sens_cultivar_janz,APSIM,1.0,0,94,1.0211069926430039,1.2088762999946578,-0.2385823277665322,-0.07946383335557028,10.0
GROUP,101,sens_cultivar_mace,APSIM,1.0,0,94,1.0463616058688745,1.2373169037186953,-0.29754684116408225,0.05227480034558645,10.0
GROUP,101,sens_fertiliser_0,APSIM,1.0,0,94,1.151896235114162,1.4461322764802584,-0.7724630532472225,-1.025780068275426,10.0
GROUP,101,sens_fertiliser_100,APSIM,1.0,0,94,1.0428612772131747,1.229282442768553,-0.2807504295520884,-0.01078633659302052,10.0
GROUP,101,sens_no3_100,APSIM,1.0,0,94,1.0037287173648075,1.1904217249204747,-0.20105484805777252,-0.10563901277563052,10.0
GROUP,101,sens_no3_25,APSIM,1.0,0,94,0.9581817441047895,1.230800478276075,-0.2839155688526944,-0.5874327581702238,10.0
GROUP,101,sens_sowing_+14,APSIM,1.0,0,94,0.9623254479014361,1.2148043111585476,-0.25075947491203343,-0.44099450914957466,9.0
GROUP,101,sens_sowing_-14,APSIM,1.0,0,94,0.9681057896872175,1.1811355352666701,-0.18238966229383102,-0.32122085985690696,11.0
GROUP,101,sens_water_0.25,APSIM,1.0,0,94,1.2389733036501118,1.5110592811014971,-0.9351924361486124,-1.1265335463304342,16.0
GROUP,101,sens_water_0.75,APSIM,1.0,0,94,1.0928072212873907,1.2787924358612053,-0.3859937438828642,0.5452686856550719,1.0
GROUP,202,available_central,APSIM,1.0,0,115,1.0218878507777995,1.2341923241781427,-2.2170940326187383,-0.03750513146917716,13.0
GROUP,202,constrained_central,APSIM,1.0,0,115,0.8040445149609488,1.034208463969647,-1.258989687828627,-0.0632535879020117,4.0
GROUP,202,data_driven,local_scratch,1.0,0,115,0.6997652064407358,0.8692575915830485,-0.5958609851767931,-0.15956095681474808,
GROUP,202,data_driven,supervised_transfer,1.0,0,115,0.6657996059749438,0.8210526754120676,-0.42377090604019574,0.06914943491064982,
GROUP,202,data_driven,validation_selected_weather_transfer,1.0,0,115,0.6774725421490876,0.8705251247700518,-0.6005184804632329,-0.08540530014867369,
GROUP,202,sens_cultivar_janz,APSIM,1.0,0,115,0.9516548331579202,1.1907223321126503,-1.9944638245004533,0.2580877476480669,4.0
GROUP,202,sens_cultivar_mace,APSIM,1.0,0,115,1.0362635698784874,1.2567744075719476,-2.335897743759824,0.3731267764202412,3.0
GROUP,202,sens_fertiliser_0,APSIM,1.0,0,115,0.8811884099592028,1.092474583493935,-1.5206976510599666,-0.6662645832019352,4.0
GROUP,202,sens_fertiliser_100,APSIM,1.0,0,115,1.012884640482722,1.2487110978451836,-2.293229643219238,0.28082667017173696,4.0
GROUP,202,sens_no3_100,APSIM,1.0,0,115,0.9505510641416922,1.1793023659887556,-1.937300726143472,0.19466350659388965,4.0
GROUP,202,sens_no3_25,APSIM,1.0,0,115,0.781098157853899,0.9999147927679817,-1.1116603225465438,-0.24137669434084777,4.0
GROUP,202,sens_sowing_+14,APSIM,1.0,0,115,0.7939969407264345,1.0292451117739276,-1.2373591225635128,-0.10812595071667698,3.0
GROUP,202,sens_sowing_-14,APSIM,1.0,0,115,0.7861419804757696,1.0274384265220018,-1.2295113204356363,0.03767580020826777,3.0
GROUP,202,sens_water_0.25,APSIM,1.0,0,115,1.0534066869496421,1.2963548135689258,-2.5493256057547753,-0.7734809219536976,10.0
GROUP,202,sens_water_0.75,APSIM,1.0,0,115,0.9897130915116997,1.1715995814373583,-1.8990552264613458,0.7787953974793993,0.0
GROUP,303,available_central,APSIM,1.0,0,93,1.1007241190412294,1.3405533079075005,-0.08312376529000143,-0.08322826781473668,10.0
GROUP,303,constrained_central,APSIM,1.0,0,93,1.0932589949477067,1.330386136406765,-0.06675657623870412,-0.3683425538987747,4.0
