contract,route,n_clusters_untrimmed,n_clusters_trimmed,rho_untrimmed,rho_trimmed
GROUP_complete,combined_kd,279,253,-0.11169092375868891,-0.13156927518447545
GROUP_complete,missing_aware,279,251,-0.1580971167766248,-0.19397457787896036
GROUP_complete,prediction_kd,279,258,0.21996264739360583,0.23209101781176703
GROUP_complete,representation_kd,279,254,-0.02710384687641592,-0.07451297720544754
SPATIAL_complete,combined_kd,31,27,-0.011693548387096776,-0.04151404151404151
SPATIAL_complete,missing_aware,31,27,-0.11330645161290324,-0.0873015873015873
SPATIAL_complete,prediction_kd,31,27,0.14838709677419354,0.15995115995115994
SPATIAL_complete,representation_kd,31,28,0.11411290322580646,0.03338806787082649
