contract,route,n_rows,n_clusters,rho,p_value,ci_lo,ci_hi,p_holm
GROUP_complete,combined_kd,302,279,-0.11169092375868891,0.0678,-0.23759680522292514,0.015950273763275655,0.4068
GROUP_complete,missing_aware,302,279,-0.1580971167766248,0.0086,-0.2804765464958104,-0.03404183434760414,0.060200000000000004
GROUP_complete,prediction_kd,302,279,0.21996264739360583,0.0002,0.08658608263829996,0.3384077909996293,0.0016
GROUP_complete,representation_kd,302,279,-0.02710384687641592,0.6478,-0.15532655634995562,0.0992264780712951,1.0
SPATIAL_complete,combined_kd,93,31,-0.011693548387096776,0.9478,-0.34525902840483563,0.35200427007091956,1.0
SPATIAL_complete,missing_aware,93,31,-0.11330645161290324,0.5434,-0.43771433093083956,0.24282707306085,1.0
SPATIAL_complete,prediction_kd,93,31,0.14838709677419354,0.419,-0.18149058618546723,0.4562453773297191,1.0
SPATIAL_complete,representation_kd,93,31,0.11411290322580646,0.5386,-0.34414323285454174,0.5269012320458718,1.0
