contract,method,seed,n,mae,rmse,r2,scratch_mae,supervised_mae,delta_mae_vs_scratch,delta_mae_vs_supervised
GROUP_complete,combined_kd,101,94,0.8159208503073838,1.0048461346807251,0.1442236406442876,0.6726920343238754,1.0493959675241025,0.14322881598350845,-0.23347511721671865
GROUP_complete,combined_kd,202,115,0.6774725608079329,0.8705251510667567,-0.6005185771597241,0.6997652064407358,0.665799620487379,-0.022292645632802865,0.011672940320553993
GROUP_complete,combined_kd,303,93,1.0183262189742057,1.2412394052475952,0.07141638375671377,0.8142279106268241,1.0086282518448368,0.20409830834738163,0.009697967129368879
GROUP_complete,local_scratch,101,94,0.6726920343238754,0.8847260722386493,0.3365949027079454,0.6726920343238754,1.0493959675241025,0.0,-0.3767039332002271
GROUP_complete,local_scratch,202,115,0.6997652064407358,0.8692575915830485,-0.5958609851767931,0.6997652064407358,0.665799620487379,0.0,0.03396558595335686
GROUP_complete,local_scratch,303,93,0.8142279106268241,1.0022256224410326,0.3946020991701133,0.8142279106268241,1.0086282518448368,0.0,-0.19440034121801275
GROUP_complete,missing_aware,101,94,0.8300081500398353,1.0124454056043584,0.13123087073001927,0.6726920343238754,1.0493959675241025,0.15731611571595994,-0.21938781748426717
GROUP_complete,missing_aware,202,115,0.7314418485226837,0.934174334079734,-0.8431213726557802,0.6997652064407358,0.665799620487379,0.03167664208194787,0.06564222803530473
GROUP_complete,missing_aware,303,93,0.9679510947401806,1.1637136156201506,0.18378957210514657,0.8142279106268241,1.0086282518448368,0.1537231841133565,-0.04067715710465625
GROUP_complete,prediction_kd,101,94,1.5921301575823035,2.3041353194783305,-3.4996332240723547,0.6726920343238754,1.0493959675241025,0.9194381232584281,0.542734190058201
GROUP_complete,prediction_kd,202,115,0.8590261017281074,1.0866876532738492,-1.494063682493953,0.6997652064407358,0.665799620487379,0.15926089528737164,0.1932264812407285
GROUP_complete,prediction_kd,303,93,1.018830432153517,1.1943200805479226,0.14029119183124106,0.8142279106268241,1.0086282518448368,0.204602521526693,0.010202180308680253
GROUP_complete,representation_kd,101,94,0.904357099746136,1.0900357590871612,-0.007030544105816272,0.6726920343238754,1.0493959675241025,0.23166506542226062,-0.14503886777796648
GROUP_complete,representation_kd,202,115,0.8061047787624857,0.9991090322330615,-1.1082584186899793,0.6997652064407358,0.665799620487379,0.10633957232174984,0.1403051582751067
GROUP_complete,representation_kd,303,93,1.1349561327349755,1.377430441991713,-0.14353447334062674,0.8142279106268241,1.0086282518448368,0.32072822210815144,0.1263278808901387
GROUP_complete,supervised,101,94,1.0493959675241025,1.2355799282213027,-0.29390634277838745,0.6726920343238754,1.0493959675241025,0.3767039332002271,0.0
GROUP_complete,supervised,202,115,0.665799620487379,0.8210526649578392,-0.4237708697832623,0.6997652064407358,0.665799620487379,-0.03396558595335686,0.0
GROUP_complete,supervised,303,93,1.0086282518448368,1.2238366318965426,0.09727222614594966,0.8142279106268241,1.0086282518448368,0.19440034121801275,0.0
