contract,method,seed,group,absolute_attribution,attribution_share
GROUP_complete,combined_kd,101,observation_support,0.1155126204562261,0.18103030193444955
GROUP_complete,combined_kd,101,radiation,0.2725147552926965,0.4270825840274704
GROUP_complete,combined_kd,101,temperature,0.11415703619949198,0.1789058429244736
GROUP_complete,combined_kd,101,water_balance,0.13590003701887943,0.21298127111360646
GROUP_complete,combined_kd,202,observation_support,0.10588793429829502,0.20570387244434418
GROUP_complete,combined_kd,202,radiation,0.08534020195188725,0.16578668885193515
GROUP_complete,combined_kd,202,temperature,0.1342350565342475,0.26077259066262465
GROUP_complete,combined_kd,202,water_balance,0.18929587830182,0.3677368480410961
GROUP_complete,combined_kd,303,observation_support,0.0859569650156737,0.2285571358806811
GROUP_complete,combined_kd,303,radiation,0.09705127393125842,0.25805658912288415
GROUP_complete,combined_kd,303,temperature,0.06712786298525586,0.17849108677700815
GROUP_complete,combined_kd,303,water_balance,0.12594913681768757,0.33489518821942665
GROUP_complete,missing_aware,101,observation_support,0.07621359770972252,0.15364744329874055
GROUP_complete,missing_aware,101,radiation,0.15418904936535557,0.31084680334711406
GROUP_complete,missing_aware,101,temperature,0.13242636104807887,0.26697298660390617
GROUP_complete,missing_aware,101,water_balance,0.13320005733638682,0.26853276675023924
GROUP_complete,missing_aware,202,observation_support,0.11783540663781804,0.222781892548127
GROUP_complete,missing_aware,202,radiation,0.13840270261077775,0.2616668190077679
GROUP_complete,missing_aware,202,temperature,0.1408765759946697,0.2663439717423604
GROUP_complete,missing_aware,202,water_balance,0.1318125327188602,0.24920731670174467
GROUP_complete,missing_aware,303,observation_support,0.0720758502735459,0.14382153797609418
GROUP_complete,missing_aware,303,radiation,0.20745221601538757,0.4139541420690356
GROUP_complete,missing_aware,303,temperature,0.11753103586654826,0.23452368961444733
GROUP_complete,missing_aware,303,water_balance,0.10408871817672921,0.20770063034042288
GROUP_complete,prediction_kd,101,observation_support,0.31780283991577674,0.2250392153109236
GROUP_complete,prediction_kd,101,radiation,0.5618281534407288,0.397835862081641
GROUP_complete,prediction_kd,101,temperature,0.2671650167445632,0.1891820908292066
