contract,method,n_clusters,mean_rank_rho,median_rank_rho,mean_sign_agreement,mean_top3_overlap
GROUP_complete,combined_kd,277,0.4292309375341866,0.43030303030303024,0.6175090252707581,0.47172081829121537
GROUP_complete,missing_aware,278,0.4606714628297362,0.48484848484848475,0.6467625899280576,0.4676258992805755
GROUP_complete,prediction_kd,278,0.4962938739917157,0.5030303030303029,0.6476618705035971,0.4856115107913669
GROUP_complete,representation_kd,279,0.5165852069077875,0.5393939393939393,0.6218637992831542,0.4970131421744325
GROUP_complete,supervised,276,0.5314888010540183,0.5757575757575757,0.6539855072463768,0.589975845410628
SPATIAL_complete,combined_kd,31,0.44268491365265555,0.4828282828282828,0.6655913978494623,0.4605734767025089
SPATIAL_complete,missing_aware,31,0.553209514499837,0.604040404040404,0.6123655913978495,0.5573476702508959
SPATIAL_complete,prediction_kd,31,0.47657217334636687,0.5313131313131313,0.6655913978494623,0.5483870967741935
SPATIAL_complete,representation_kd,31,0.6139459107201042,0.604040404040404,0.6462365591397848,0.5591397849462365
SPATIAL_complete,supervised,31,0.5316389703486477,0.5757575757575757,0.6623655913978495,0.5591397849462365
