gate,dataset_id,split_id,condition,role,seed,official_mae,official_rmse,primary_control,primary_mae,primary_rmse,secondary_control,secondary_mae,secondary_rmse,beats_primary,beats_secondary,rmse_reversal,status
late_fusion,CY-Bench_wheat_AU,SPATIAL,complete,main,101,1.0567687223001412,1.1826070020517325,joint_feature_rf,0.9576184464925752,1.0744351664972698,single_branch_rf::soil,1.031589535912793,1.1480363947300645,False,False,True,READY
late_fusion,CY-Bench_wheat_AU,SPATIAL,complete,main,202,1.053205324280398,1.1708364321330458,joint_feature_rf,0.934007630909712,1.0498914153808234,single_branch_rf::soil,1.0199118923868629,1.1296320418093448,False,False,True,READY
late_fusion,CY-Bench_wheat_AU,SPATIAL,complete,main,303,1.0477955338072298,1.1672300426168616,joint_feature_rf,0.9389776617170166,1.0647067659238023,single_branch_rf::soil,1.0206636154895237,1.130377909981794,False,False,True,READY
late_fusion,CY-Bench_wheat_AU,SPATIAL,synthetic_random_0_15,main,101,0.9998428625565405,1.1250202522161794,joint_feature_rf,0.9050383978494622,1.0533205563691828,single_branch_rf::weather,0.9853871746885132,1.1406543517263616,False,False,True,READY
late_fusion,CY-Bench_wheat_AU,SPATIAL,synthetic_random_0_15,main,202,1.010559154162483,1.1069311130393795,joint_feature_rf,0.9145160171608558,1.0283450271847752,single_branch_rf::soil,0.9958169357489156,1.1009971223351385,False,False,True,READY
late_fusion,CY-Bench_wheat_AU,SPATIAL,synthetic_random_0_15,main,303,1.0341275056663188,1.1359420161018154,joint_feature_rf,0.938950021164021,1.0558394847081458,single_branch_rf::soil,1.0316714947691528,1.1384365133663834,False,False,True,READY
late_fusion,CY-Bench_wheat_AU,SPATIAL,synthetic_no_weather,boundary,101,1.0315895359127931,1.1480363947300645,joint_feature_rf,1.031589535912793,1.1480363947300645,single_branch_rf::soil,1.031589535912793,1.1480363947300645,False,False,False,READY
late_fusion,CY-Bench_wheat_AU,SPATIAL,synthetic_no_weather,boundary,202,1.0199118923868629,1.1296320418093448,joint_feature_rf,1.0199118923868629,1.1296320418093448,single_branch_rf::soil,1.0199118923868629,1.1296320418093448,False,False,False,READY
late_fusion,CY-Bench_wheat_AU,SPATIAL,synthetic_no_weather,boundary,303,1.0206636154895237,1.130377909981794,joint_feature_rf,1.0206636154895237,1.130377909981794,single_branch_rf::soil,1.0206636154895237,1.130377909981794,False,False,False,READY
teacher_student,CY-Bench_wheat_AU,GROUP,synthetic_no_soil,main,101,0.8864821500404769,1.051258447645344,student_observed_target_only,0.935093920693341,1.1519440745662215,teacher_pseudo_target_only,0.9007531480533636,1.0619878855094291,True,True,False,READY
teacher_student,CY-Bench_wheat_AU,GROUP,synthetic_no_soil,main,202,0.5832915757790326,0.7377833878433776,student_observed_target_only,0.57999624465386,0.7396528049094373,teacher_pseudo_target_only,0.5977268337354578,0.7462715885724295,False,True,False,READY
teacher_student,CY-Bench_wheat_AU,GROUP,synthetic_no_soil,main,303,0.8705776266998988,1.0459141325227868,student_observed_target_only,0.863388713807501,1.046344054317013,teacher_pseudo_target_only,0.8795173894735739,1.0551493654241868,False,True,False,READY
teacher_student,CY-Bench_wheat_AU,SPATIAL,complete,main,101,1.2415967401787023,1.480387436611555,student_observed_target_only,1.2386661490069013,1.4750383028398406,teacher_pseudo_target_only,0.9724625277800946,1.2012850872174428,False,False,True,READY
teacher_student,CY-Bench_wheat_AU,SPATIAL,complete,main,202,0.8875451129051414,1.107109051935091,student_observed_target_only,1.2921583353542203,1.5397245775812916,teacher_pseudo_target_only,0.895268552358355,1.1167154521734537,True,True,False,READY
teacher_student,CY-Bench_wheat_AU,SPATIAL,complete,main,303,0.8726906014726289,1.0961229938547319,student_observed_target_only,0.8699514072544711,1.0990173360846185,teacher_pseudo_target_only,0.878664411419107,1.0932008878681372,False,True,True,READY
