contract,seed,scenario_count,mae_min,mae_max,rmse_min,rmse_max,r2_min,r2_max,bias_min,bias_max
GROUP,101,12,0.9472207244823594,1.2389733036501118,1.1783715529388432,1.5110592811014971,-0.9351924361486124,-0.176862302937159,-1.1265335463304342,0.5452686856550719
GROUP,202,12,0.781098157853899,1.0534066869496421,0.9999147927679817,1.2963548135689258,-2.5493256057547753,-1.1116603225465438,-0.7734809219536976,0.7787953974793993
GROUP,303,12,1.0324972232139709,1.424746246156108,1.2950442393747101,1.7079133947082337,-0.7580919966397515,-0.010832313091496903,-1.2053453814861574,0.3242163642591247
SPATIAL,101,12,1.040573960579896,1.4247146551364127,1.265365425279691,1.6952418089402066,-1.2280237337957178,-0.2413333712928425,-1.2337440130933393,0.27033473836875443
SPATIAL,202,12,1.040573960579896,1.4247146551364127,1.265365425279691,1.6952418089402066,-1.2280237337957178,-0.2413333712928425,-1.2337440130933393,0.27033473836875443
SPATIAL,303,12,1.040573960579896,1.4247146551364127,1.265365425279691,1.6952418089402066,-1.2280237337957178,-0.2413333712928425,-1.2337440130933393,0.27033473836875443
