contract,method,seed,perturbation_group,perm_rep,mean_abs_pred_change,mean_delta_AE
GROUP_complete,combined_kd,101,all_physical,0,0.7555204122624499,0.46281207878031627
GROUP_complete,combined_kd,101,all_physical,1,0.8077303602340373,0.5354580573629826
GROUP_complete,combined_kd,101,all_physical,2,0.8202119837415979,0.5213676873470875
GROUP_complete,combined_kd,101,all_physical,3,0.8222443702373099,0.5231982485182741
GROUP_complete,combined_kd,101,all_physical,4,0.8716459832292922,0.5597936926902609
GROUP_complete,combined_kd,101,all_physical,5,0.8583142579870021,0.5328452391725905
GROUP_complete,combined_kd,101,all_physical,6,0.837167240203695,0.550283552108927
GROUP_complete,combined_kd,101,all_physical,7,0.8728215212517596,0.5448950751487245
GROUP_complete,combined_kd,101,all_physical,8,0.8953139350769368,0.6210277703264927
GROUP_complete,combined_kd,101,all_physical,9,0.924538587002044,0.6233700898758908
GROUP_complete,combined_kd,101,all_physical,10,0.8312006859069175,0.559387817585722
GROUP_complete,combined_kd,101,all_physical,11,0.7942901976565098,0.43604929319341135
GROUP_complete,combined_kd,101,all_physical,12,0.9595202309020022,0.6473654466791355
GROUP_complete,combined_kd,101,all_physical,13,0.7413202828549325,0.47502633936861727
GROUP_complete,combined_kd,101,all_physical,14,0.7448573036396757,0.39576858380500307
GROUP_complete,combined_kd,101,all_physical,15,0.7286479067295155,0.47001111468862977
GROUP_complete,combined_kd,101,all_physical,16,0.791355089938387,0.4720592827289663
GROUP_complete,combined_kd,101,all_physical,17,0.8969142868163738,0.6266616656323697
GROUP_complete,combined_kd,101,all_physical,18,0.7420601515059776,0.45473993985196376
GROUP_complete,combined_kd,101,all_physical,19,0.8309705358870486,0.547520771878831
GROUP_complete,combined_kd,101,all_physical,20,0.8282923267242757,0.5198094780090008
GROUP_complete,combined_kd,101,all_physical,21,0.7629381824047008,0.4562547501706063
GROUP_complete,combined_kd,101,all_physical,22,0.7148975869442554,0.3763733081411808
GROUP_complete,combined_kd,101,all_physical,23,0.7001616574348287,0.3611963452887028
GROUP_complete,combined_kd,101,all_physical,24,0.6669908584432399,0.32167167687923354
GROUP_complete,combined_kd,101,all_physical,25,0.7425800029267656,0.42905054632146306
GROUP_complete,combined_kd,101,all_physical,26,0.8506006966245935,0.5251772275681191
GROUP_complete,combined_kd,101,all_physical,27,0.7820556899334522,0.502753145400514
GROUP_complete,combined_kd,101,all_physical,28,0.7045827926473415,0.45432710302636975
GROUP_complete,combined_kd,101,all_physical,29,0.8677835794205361,0.5952634421612354
