contract,route,feature_name,mean_delta,median_delta,mean_abs_delta,std_delta,n
GROUP_complete,combined_kd,weather_coverage,0.0,0.0,0.0,0.0,302
GROUP_complete,combined_kd,weather_cwb_sum,0.006338265181722625,0.008772477507591248,0.04440696140294833,0.06452987362420179,302
GROUP_complete,combined_kd,weather_et0_sum,0.01307175870651737,-0.03208417817950249,0.257008204147195,0.3351867062997357,302
GROUP_complete,combined_kd,weather_expected_days,-0.024652434257013318,-0.012300530914217234,0.13645640036880674,0.18873064524328953,302
GROUP_complete,combined_kd,weather_observed_days,-0.010533443531823276,0.0074934205040335655,0.1042499286986098,0.14481750525420803,302
GROUP_complete,combined_kd,weather_prec_sum,-0.01932773587065718,-0.02523820474743843,0.06529442868843083,0.08816723996690584,302
GROUP_complete,combined_kd,weather_rad_sum,0.00033848172374415083,-0.04180017951875925,0.26112763458764215,0.38520016803210083,302
GROUP_complete,combined_kd,weather_tmax_mean,-0.0677021339948949,-0.02548806183040142,0.1591313333521961,0.24838881027700083,302
GROUP_complete,combined_kd,weather_tmin_mean,0.03789119123302351,0.045126195065677166,0.09009497178508746,0.1148029772849415,302
GROUP_complete,combined_kd,weather_vpd_mean,-0.09908706455534658,-0.05158960446715355,0.1908191338255508,0.26190469309617714,302
GROUP_complete,missing_aware,weather_coverage,0.0,0.0,0.0,0.0,302
GROUP_complete,missing_aware,weather_cwb_sum,0.024520790300005122,0.021452692802995443,0.060930846770916945,0.07808875523919724,302
GROUP_complete,missing_aware,weather_et0_sum,0.03281955688340676,-0.003986322320997715,0.19616357276265492,0.2745326678016546,302
GROUP_complete,missing_aware,weather_expected_days,-0.051942113638911026,0.0031912783160805702,0.14358400855065379,0.1824187702121157,302
GROUP_complete,missing_aware,weather_observed_days,0.04795822960367759,0.0307199964299798,0.0916260249622857,0.11270560077839513,302
GROUP_complete,missing_aware,weather_prec_sum,-0.013602954620766817,-0.006234530359506607,0.06638643980821879,0.08902698623878473,302
GROUP_complete,missing_aware,weather_rad_sum,0.03934817941896371,0.04576511587947607,0.19858691277636203,0.27100830557707656,302
GROUP_complete,missing_aware,weather_tmax_mean,-0.007444357575034562,0.017042997293174267,0.174207615880419,0.2821499320906553,302
GROUP_complete,missing_aware,weather_tmin_mean,0.08000394416701616,0.07093457225710154,0.137198514943412,0.1608757908890338,302
GROUP_complete,missing_aware,weather_vpd_mean,-0.15301800637339422,-0.11005396489053965,0.23227235343961034,0.2760340840406054,302
GROUP_complete,prediction_kd,weather_coverage,0.0,0.0,0.0,0.0,302
GROUP_complete,prediction_kd,weather_cwb_sum,-0.04165669547359996,-0.043329195119440556,0.07271510846558218,0.09477895303371095,302
GROUP_complete,prediction_kd,weather_et0_sum,-0.02543790106020177,-0.010364620015025139,0.26736465733288634,0.3411125887286464,302
GROUP_complete,prediction_kd,weather_expected_days,0.029769413113834596,-0.008688352070748806,0.2251593725692592,0.4313736175479596,302
GROUP_complete,prediction_kd,weather_observed_days,-0.1045670721248958,-0.02545637357980013,0.2478833478017377,0.3348170885465308,302
GROUP_complete,prediction_kd,weather_prec_sum,-0.010148738925684466,-0.01733547169715166,0.09230070731244883,0.12191970088146833,302
GROUP_complete,prediction_kd,weather_rad_sum,0.13669661462032515,0.14793085237033665,0.4562348954445861,0.5402754269317797,302
GROUP_complete,prediction_kd,weather_tmax_mean,0.18796796711170985,0.241549177095294,0.28140123727938027,0.2728476537498065,302
GROUP_complete,prediction_kd,weather_tmin_mean,0.0731087501067514,0.020272341324016452,0.14627999883640053,0.202476704793975,302
GROUP_complete,prediction_kd,weather_vpd_mean,-0.03774348544866611,-0.03696236805990338,0.19452519460029233,0.29058409015831854,302
GROUP_complete,representation_kd,weather_coverage,0.0,0.0,0.0,0.0,302
GROUP_complete,representation_kd,weather_cwb_sum,0.01459496183974656,0.017504130490124226,0.050344201107046856,0.07174446007458539,302
GROUP_complete,representation_kd,weather_et0_sum,-0.06189187363850952,-0.015640071593225002,0.1876982700585431,0.2458986128359725,302
GROUP_complete,representation_kd,weather_expected_days,0.03152074498920054,0.03238625358790159,0.1208165047122844,0.14001589321126778,302
GROUP_complete,representation_kd,weather_observed_days,0.092541192772348,0.10026955045759678,0.19868302214829042,0.2371816288771507,302
