contract,method,seed,perturbation_group,n_error_degraded,n_error_improved,n_unchanged,mean_delta_AE,median_delta_AE
GROUP_complete,representation_kd,202,all_physical,35,80,0,-0.22914629932901132,-0.23746883869171143
GROUP_complete,representation_kd,202,all_support,67,48,0,0.13589929900791337,0.12648999691009521
GROUP_complete,representation_kd,202,observation_support,67,48,0,0.13589929900791337,0.12648999691009521
GROUP_complete,representation_kd,202,radiation,67,48,0,0.22444421599014946,0.0626840591430664
GROUP_complete,representation_kd,202,temperature,60,55,0,0.046134241220225476,0.01013493537902832
GROUP_complete,representation_kd,202,water_balance,60,55,0,-0.0006504470493482481,0.027629733085632324
GROUP_complete,representation_kd,303,all_physical,56,37,0,0.02951226023192048,0.07858490943908691
GROUP_complete,representation_kd,303,all_support,30,63,0,-0.08787806917005969,-0.05676746368408203
GROUP_complete,representation_kd,303,observation_support,30,63,0,-0.08787806917005969,-0.05676746368408203
GROUP_complete,representation_kd,303,radiation,66,27,0,0.10793992852651944,0.05794072151184082
GROUP_complete,representation_kd,303,temperature,35,58,0,-0.13225029014259257,-0.09597659111022949
GROUP_complete,representation_kd,303,water_balance,64,29,0,0.12082010002546413,0.08869099617004395
GROUP_complete,supervised,101,all_physical,38,56,0,-0.10303103146654495,-0.06548315286636353
GROUP_complete,supervised,101,all_support,31,61,2,-0.1576703837577333,-0.04706621170043945
GROUP_complete,supervised,101,observation_support,31,61,2,-0.1576703837577333,-0.04706621170043945
GROUP_complete,supervised,101,radiation,50,44,0,-0.055102663303943394,0.007894504070282027
GROUP_complete,supervised,101,temperature,46,48,0,-0.022792771775671777,-0.0064814090728759766
GROUP_complete,supervised,101,water_balance,46,48,0,-0.032321236143720906,-0.003126859664916992
GROUP_complete,supervised,202,all_physical,68,47,0,0.061736092285487966,0.08628559112548828
GROUP_complete,supervised,202,all_support,85,30,0,0.2253723509332408,0.08331699752807609
GROUP_complete,supervised,202,observation_support,85,30,0,0.2253723509332408,0.08331699752807609
GROUP_complete,supervised,202,radiation,68,47,0,0.026329775238037104,0.021570682525634766
GROUP_complete,supervised,202,temperature,45,70,0,-0.04362442995154339,-0.009680509567260742
GROUP_complete,supervised,202,water_balance,64,51,0,0.04478486959208613,0.03237342834472656
GROUP_complete,supervised,303,all_physical,59,34,0,0.3239169890906221,0.09681117534637451
GROUP_complete,supervised,303,all_support,38,55,0,-0.010818516505661834,-0.020402908325195312
GROUP_complete,supervised,303,observation_support,38,55,0,-0.010818516505661834,-0.020402908325195312
GROUP_complete,supervised,303,radiation,60,33,0,0.1669943291141141,0.06971025466918945
GROUP_complete,supervised,303,temperature,42,51,0,-0.030047069190650862,-0.011181116104125977
GROUP_complete,supervised,303,water_balance,45,48,0,-0.01954298334224249,-0.02623278713226318
SPATIAL_complete,combined_kd,101,all_physical,19,12,0,0.14109635297713743,0.43194854259490967
SPATIAL_complete,combined_kd,101,all_support,15,16,0,-0.020958909250074813,-0.055840373039245605
SPATIAL_complete,combined_kd,101,observation_support,15,16,0,-0.020958909250074813,-0.055840373039245605
SPATIAL_complete,combined_kd,101,radiation,9,22,0,-0.062200374326398286,-0.05695641040802002
SPATIAL_complete,combined_kd,101,temperature,16,15,0,0.6342271384577598,0.17664825916290283
SPATIAL_complete,combined_kd,101,water_balance,10,21,0,-0.10196556512771111,-0.1640392541885376
SPATIAL_complete,combined_kd,202,all_physical,21,10,0,0.11404037229476437,0.0935525894165039
SPATIAL_complete,combined_kd,202,all_support,16,15,0,0.008278765893751582,0.022156999588013093
SPATIAL_complete,combined_kd,202,observation_support,16,15,0,0.008278765893751582,0.022156999588013093
SPATIAL_complete,combined_kd,202,radiation,20,11,0,0.12821342302137803,0.24181342124938965
SPATIAL_complete,combined_kd,202,temperature,21,10,0,0.39024050423406786,0.3338890075683594
SPATIAL_complete,combined_kd,202,water_balance,14,17,0,0.011418385167275705,-0.05123114585876465
SPATIAL_complete,combined_kd,303,all_physical,17,14,0,0.14342100091134344,0.2179858837127684
SPATIAL_complete,combined_kd,303,all_support,21,10,0,0.27102888334951086,0.3015406131744385
SPATIAL_complete,combined_kd,303,observation_support,21,10,0,0.27102888334951086,0.3015406131744385
