contract,method,seed,perturbation_group,perturbation_type,mean_abs_pred_change,median_abs_pred_change,ci_lo,ci_hi,mean_delta_AE,n
GROUP_complete,combined_kd,101,all_physical,median_replacement,0.3881944012134633,0.3238406181335449,0.32156242721892414,0.465809630967201,0.017880353055101765,94
GROUP_complete,combined_kd,101,all_support,median_replacement,1.1540002061965617,1.1103707551956177,1.008208102051248,1.294312470263623,0.6143791649595222,94
GROUP_complete,combined_kd,101,observation_support,median_replacement,1.1540002061965617,1.1103707551956177,1.008208102051248,1.294312470263623,0.6143791649595222,94
GROUP_complete,combined_kd,101,radiation,median_replacement,0.14948788095027843,0.09603190422058105,0.12232633581820955,0.18065600934180806,0.061153414178401866,94
GROUP_complete,combined_kd,101,temperature,median_replacement,0.402199849169305,0.33176136016845703,0.3290254367158768,0.481811723430106,0.037382136385491566,94
GROUP_complete,combined_kd,101,water_balance,median_replacement,0.20410870237553375,0.1300431489944458,0.15544421799639438,0.2675492089479527,-0.022738013511008407,94
GROUP_complete,combined_kd,202,all_physical,median_replacement,0.21998688345370085,0.14881610870361328,0.18210188863070118,0.2599686910017677,-0.043907248165296474,115
GROUP_complete,combined_kd,202,all_support,median_replacement,0.8189038867535798,0.38278913497924805,0.6801372684084851,0.9682368046822756,0.236698222176925,115
GROUP_complete,combined_kd,202,observation_support,median_replacement,0.8189038867535798,0.38278913497924805,0.6801372684084851,0.9682368046822756,0.236698222176925,115
GROUP_complete,combined_kd,202,radiation,median_replacement,0.267354358797488,0.1579134464263916,0.2107260789041934,0.3250686091184616,0.12656214781222136,115
GROUP_complete,combined_kd,202,temperature,median_replacement,0.15656711951546046,0.09423661231994629,0.12257060875063358,0.1897811797131662,0.00844484775377357,115
GROUP_complete,combined_kd,202,water_balance,median_replacement,0.16807712886644446,0.10529756546020508,0.13904316484928134,0.1973560928261798,-0.0058330964461616895,115
GROUP_complete,combined_kd,303,all_physical,median_replacement,0.5410450555944956,0.4587554931640625,0.44760882252006123,0.651487426539903,0.18899271187731015,93
GROUP_complete,combined_kd,303,all_support,median_replacement,0.10227072879832277,0.060265302658081055,0.08348388534079317,0.12216648594025642,-0.005179035166258461,93
GROUP_complete,combined_kd,303,observation_support,median_replacement,0.10227072879832277,0.060265302658081055,0.08348388534079317,0.12216648594025642,-0.005179035166258461,93
GROUP_complete,combined_kd,303,radiation,median_replacement,0.15930909751563943,0.10179471969604492,0.12795016124684325,0.19310105302000558,0.03703385478194043,93
GROUP_complete,combined_kd,303,temperature,median_replacement,0.13761820331696542,0.07940506935119629,0.09146208074144137,0.21321555286325433,-0.04530207603208482,93
GROUP_complete,combined_kd,303,water_balance,median_replacement,0.5010323357838457,0.4773927927017212,0.43512298999935073,0.5683898384212165,0.2402193219687349,93
GROUP_complete,missing_aware,101,all_physical,median_replacement,0.8199311101690252,0.7454055547714233,0.6997536112653449,0.947163469265116,0.09454518838638956,94
GROUP_complete,missing_aware,101,all_support,median_replacement,0.32255004568302886,0.21248185634613037,0.26078463035061006,0.3882670904727692,0.15509585989282484,94
GROUP_complete,missing_aware,101,observation_support,median_replacement,0.32255004568302886,0.21248185634613037,0.26078463035061006,0.3882670904727692,0.15509585989282484,94
GROUP_complete,missing_aware,101,radiation,median_replacement,0.2808503204203667,0.1459028720855713,0.2265120213653179,0.34163523208587726,0.05642889569668061,94
GROUP_complete,missing_aware,101,temperature,median_replacement,0.23145753398854682,0.17231708765029907,0.18842583168694316,0.2755724270927145,-0.003132265364870116,94
GROUP_complete,missing_aware,101,water_balance,median_replacement,0.4439771809476487,0.35952943563461304,0.3785343564254172,0.5129254735530691,-0.018266865121557358,94
GROUP_complete,missing_aware,202,all_physical,median_replacement,0.28859658344932226,0.19497036933898926,0.22618842930897423,0.36051323771476745,-0.12342092445207678,115
GROUP_complete,missing_aware,202,all_support,median_replacement,0.7601669964583023,0.43121016025543213,0.6317022613857104,0.9069865815017534,0.11496077027528183,115
GROUP_complete,missing_aware,202,observation_support,median_replacement,0.7601669964583023,0.43121016025543213,0.6317022613857104,0.9069865815017534,0.11496077027528183,115
GROUP_complete,missing_aware,202,radiation,median_replacement,0.21152264968208645,0.11038994789123535,0.16219520514426025,0.26185120688832325,0.06780027537138565,115
GROUP_complete,missing_aware,202,temperature,median_replacement,0.6184473234674205,0.5205347537994385,0.5167720818260442,0.7243919181046278,0.19224666660972267,115
GROUP_complete,missing_aware,202,water_balance,median_replacement,0.25868373642797055,0.17982566356658936,0.21379377232945485,0.3087866111941959,-0.0041906152891076145,115
GROUP_complete,missing_aware,303,all_physical,median_replacement,0.6650267160066994,0.5662562847137451,0.5496004783338116,0.7943051662496341,0.24290209973242977,93
GROUP_complete,missing_aware,303,all_support,median_replacement,0.11396272977193196,0.05128645896911621,0.08368263840675355,0.15674059461521847,-0.03629304268539593,93
GROUP_complete,missing_aware,303,observation_support,median_replacement,0.11396272977193196,0.05128645896911621,0.08368263840675355,0.15674059461521847,-0.03629304268539593,93
GROUP_complete,missing_aware,303,radiation,median_replacement,0.2801041551815566,0.1948232650756836,0.23221997894266602,0.3340507450924124,0.05345168480821836,93
GROUP_complete,missing_aware,303,temperature,median_replacement,0.12301665224054809,0.06935286521911621,0.08478380025074048,0.18201141953468322,-0.01881273074816632,93
GROUP_complete,missing_aware,303,water_balance,median_replacement,0.3718478474565732,0.26509952545166016,0.3130879517524473,0.43479514404009745,0.10358788937394336,93
GROUP_complete,prediction_kd,101,all_physical,median_replacement,1.2978652639591948,0.9834110736846924,1.0518250859481224,1.5533731567098736,-0.5284332737212485,94
GROUP_complete,prediction_kd,101,all_support,median_replacement,1.3525427097969867,0.9229460954666138,1.1110448385172702,1.601135162058028,-0.2997706316481245,94
GROUP_complete,prediction_kd,101,observation_support,median_replacement,1.3525427097969867,0.9229460954666138,1.1110448385172702,1.601135162058028,-0.2997706316481245,94
GROUP_complete,prediction_kd,101,radiation,median_replacement,0.2501401774426724,0.2004038691520691,0.20263003028453663,0.30757161502508407,0.009317224157617453,94
GROUP_complete,prediction_kd,101,temperature,median_replacement,0.7832129388413531,0.7678318023681641,0.6824618065135276,0.8896376507871961,0.2069671315183031,94
GROUP_complete,prediction_kd,101,water_balance,median_replacement,1.0877056955657107,0.7246653437614441,0.8816445704232505,1.3156592091981398,-0.30647804841843057,94
GROUP_complete,prediction_kd,202,all_physical,median_replacement,0.8396211212096008,0.7108964920043945,0.7311831904753394,0.9525156790082868,0.1286058295312135,115
