contract,route,n_clusters,mean_delta_entropy,median_delta_entropy,mean_delta_effective_features
GROUP_complete,combined_kd,279,0.05476489621303596,0.04851058764131688,0.7216131003426262
GROUP_complete,missing_aware,279,0.06121856785693108,0.05889936997780998,0.8105064865027339
GROUP_complete,prediction_kd,279,0.04383549172859316,0.03660042127151886,0.5198931802788065
GROUP_complete,representation_kd,279,0.023408954611379405,0.03558664687431301,0.31913659284284085
SPATIAL_complete,combined_kd,31,0.056152940955620276,0.06988280770565732,0.7047990275184834
SPATIAL_complete,missing_aware,31,0.015304650692376347,0.02226984272115166,0.17537634084698978
SPATIAL_complete,prediction_kd,31,0.02980069115442076,0.04823526375238063,0.333487253719472
SPATIAL_complete,representation_kd,31,0.03613772440847095,0.07498778609225558,0.4693765480731944
