contract,route,feature_name,feature_group,n_clusters,mean_signed_delta,median_signed_delta,mean_absolute_delta,ci_lo,ci_hi
GROUP_complete,combined_kd,weather_coverage,observation_support,279,0.0,0.0,0.0,0.0,0.0
GROUP_complete,combined_kd,weather_cwb_sum,water_balance,279,0.009194009530100977,0.011667367070913301,0.04455180817006627,0.0016442383388324338,0.01680951714473959
GROUP_complete,combined_kd,weather_et0_sum,water_balance,279,0.005636805287932824,-0.018662065267562894,0.23360020283436048,-0.02515493475766953,0.03660939521036081
GROUP_complete,combined_kd,weather_expected_days,observation_support,279,-0.03992401477697182,-0.007700465619564098,0.12568138521765504,-0.05837650727372162,-0.02190128771077481
GROUP_complete,combined_kd,weather_observed_days,observation_support,279,-0.008937661299034694,0.006959894672036098,0.10273277147349277,-0.025182612717992835,0.007509426018022874
GROUP_complete,combined_kd,weather_prec_sum,water_balance,279,-0.016585809312173305,-0.022462455555796648,0.06575715942074639,-0.027192344572428435,-0.005727850457262827
GROUP_complete,combined_kd,weather_rad_sum,radiation,279,-0.012325078360803137,-0.0295684691518545,0.22920518248478838,-0.04579610678285534,0.022323320097937572
GROUP_complete,combined_kd,weather_tmax_mean,temperature,279,-0.07593533447626509,-0.027497990056872396,0.16090372465651043,-0.1065199938965761,-0.0476013197410037
GROUP_complete,combined_kd,weather_tmin_mean,temperature,279,0.03740551781516829,0.0443026572465896,0.09280388701647037,0.02387323552937877,0.05128610135217974
GROUP_complete,combined_kd,weather_vpd_mean,water_balance,279,-0.09638953403699943,-0.045167574658989906,0.19071919550972333,-0.12575034399351645,-0.06773234999072687
GROUP_complete,missing_aware,weather_coverage,observation_support,279,0.0,0.0,0.0,0.0,0.0
GROUP_complete,missing_aware,weather_cwb_sum,water_balance,279,0.0243898254041443,0.022340776398777903,0.06110724812794111,0.015302537250629612,0.03324204061470763
GROUP_complete,missing_aware,weather_et0_sum,water_balance,279,0.03790052261831086,-0.00879427976906301,0.17733319450877474,0.012164090637377997,0.06496563787241619
GROUP_complete,missing_aware,weather_expected_days,observation_support,279,-0.06865294794234911,-0.0185633841902017,0.1429918151445633,-0.0892743056821954,-0.04889902963977322
GROUP_complete,missing_aware,weather_observed_days,observation_support,279,0.049252579208984154,0.029669522307813098,0.09082989445403486,0.03670735810616298,0.06227666878468594
GROUP_complete,missing_aware,weather_prec_sum,water_balance,279,-0.011941007300076408,-0.008852098137140302,0.06818330271743689,-0.022511043409920394,-0.001485955255192875
GROUP_complete,missing_aware,weather_rad_sum,radiation,279,0.022342705294676773,0.057599074207246304,0.182356559644757,-0.00392544149240901,0.04910013689976652
GROUP_complete,missing_aware,weather_tmax_mean,temperature,279,-0.020669958499130062,0.0150042995810509,0.1734858964716742,-0.05501634510080447,0.011300554531576336
GROUP_complete,missing_aware,weather_tmin_mean,temperature,279,0.071346929154983,0.0646967962384223,0.13323220105734934,0.052384261302917,0.0910235128932095
GROUP_complete,missing_aware,weather_vpd_mean,water_balance,279,-0.13961672017143834,-0.10898603126406672,0.2252211165163786,-0.17102356142277653,-0.1089932396550626
GROUP_complete,prediction_kd,weather_coverage,observation_support,279,0.0,0.0,0.0,0.0,0.0
GROUP_complete,prediction_kd,weather_cwb_sum,water_balance,279,-0.037855508486076016,-0.0324426144361495,0.07019284953643637,-0.04910176861672378,-0.027335272780803145
