contract,method,seed,perturbation_group,mean_abs_pred_change,mean_perturbation_l2_distance,standardized_sensitivity,dimension_normalized_sensitivity
GROUP_complete,combined_kd,101,all_physical,0.3881944012134633,1.5834342477564214,0.2451597859293831,0.0554563430304947
GROUP_complete,combined_kd,101,all_support,1.1540002061965615,1.6317393784885237,0.7072209088100834,0.3846667353988538
GROUP_complete,combined_kd,101,observation_support,1.1540002061965615,1.6317393784885237,0.7072209088100834,0.3846667353988538
GROUP_complete,combined_kd,101,radiation,0.1494878809502784,0.7239055834057846,0.2065019035310805,0.1494878809502784
GROUP_complete,combined_kd,101,temperature,0.402199849169305,0.6707671208985636,0.5996117529283727,0.2010999245846525
GROUP_complete,combined_kd,101,water_balance,0.2041087023755337,1.1630238840804317,0.1754982895615603,0.0510271755938834
GROUP_complete,combined_kd,202,all_physical,0.2199868834537008,2.4301079971407726,0.0905255584165162,0.0314266976362429
GROUP_complete,combined_kd,202,all_support,0.8189038867535798,1.2621859298543618,0.6487981424792311,0.2729679622511933
GROUP_complete,combined_kd,202,observation_support,0.8189038867535798,1.2621859298543618,0.6487981424792311,0.2729679622511933
GROUP_complete,combined_kd,202,radiation,0.267354358797488,0.7856338525079706,0.3403040206881045,0.267354358797488
GROUP_complete,combined_kd,202,temperature,0.1565671195154604,1.528375431380976,0.1024402226708724,0.0782835597577302
GROUP_complete,combined_kd,202,water_balance,0.1680771288664444,1.5858598808295632,0.1059848545877945,0.0420192822166111
GROUP_complete,combined_kd,303,all_physical,0.5410450555944956,1.7474744654062877,0.3096154286113663,0.0772921507992136
GROUP_complete,combined_kd,303,all_support,0.1022707287983227,0.622478813305368,0.1642959191736983,0.0340902429327742
GROUP_complete,combined_kd,303,observation_support,0.1022707287983227,0.622478813305368,0.1642959191736983,0.0340902429327742
GROUP_complete,combined_kd,303,radiation,0.1593090975156394,0.552067559703673,0.2885681194541866,0.1593090975156394
GROUP_complete,combined_kd,303,temperature,0.1376182033169654,0.7429407466547211,0.1852344267513136,0.0688091016584827
GROUP_complete,combined_kd,303,water_balance,0.5010323357838457,1.401039490182449,0.3576147134284141,0.1252580839459614
GROUP_complete,missing_aware,101,all_physical,0.8199311101690252,1.5834342477564214,0.5178182241102043,0.1171330157384321
GROUP_complete,missing_aware,101,all_support,0.3225500456830288,1.6317393784885237,0.1976725265903728,0.1075166818943429
GROUP_complete,missing_aware,101,observation_support,0.3225500456830288,1.6317393784885237,0.1976725265903728,0.1075166818943429
GROUP_complete,missing_aware,101,radiation,0.2808503204203667,0.7239055834057846,0.387965401646237,0.2808503204203667
GROUP_complete,missing_aware,101,temperature,0.2314575339885468,0.6707671208985636,0.3450639227488369,0.1157287669942734
GROUP_complete,missing_aware,101,water_balance,0.4439771809476487,1.1630238840804317,0.381743820590844,0.1109942952369121
GROUP_complete,missing_aware,202,all_physical,0.2885965834493222,2.4301079971407726,0.1187587480839377,0.0412280833499031
GROUP_complete,missing_aware,202,all_support,0.7601669964583023,1.2621859298543618,0.6022622962889567,0.2533889988194341
GROUP_complete,missing_aware,202,observation_support,0.7601669964583023,1.2621859298543618,0.6022622962889567,0.2533889988194341
GROUP_complete,missing_aware,202,radiation,0.2115226496820864,0.7856338525079706,0.2692382068397074,0.2115226496820864
GROUP_complete,missing_aware,202,temperature,0.6184473234674205,1.528375431380976,0.4046435913381653,0.3092236617337102
GROUP_complete,missing_aware,202,water_balance,0.2586837364279705,1.5858598808295632,0.1631189107908385,0.0646709341069926
