contract,route,seed,mean_delta_absolute_error,fraction_error_improved,mean_absolute_prediction_difference,mean_attribution_redistribution_l1,mean_stress_response_difference
GROUP_complete,combined_kd,101,-0.23347511721671896,0.5957446808510638,0.5489396567040301,1.7156974587866918,0.3804388946262377
GROUP_complete,combined_kd,202,0.011672940320553988,0.45217391304347826,0.20513061129528543,0.7212478804037623,0.10853292001548519
GROUP_complete,combined_kd,303,0.00969796712936893,0.4731182795698925,0.6002275597664618,1.6233850503039937,0.27971954649554515
GROUP_complete,missing_aware,101,-0.21938781748426722,0.5957446808510638,0.5947705634096836,1.6265479187738705,0.0978932146430568
GROUP_complete,missing_aware,202,0.06564222803530485,0.4434782608695652,0.24026369011920432,0.8920869440002286,0.1417675816924091
GROUP_complete,missing_aware,303,-0.04067715710465626,0.5161290322580645,0.5162525894821332,1.4774548024019247,0.20218447986759425
GROUP_complete,prediction_kd,101,0.5427341900582009,0.4574468085106383,1.1038615855764835,2.7063668637754437,0.610322179320926
GROUP_complete,prediction_kd,202,0.1932264812407286,0.30434782608695654,0.3577812881573387,1.7927428352180867,0.1985667463839865
GROUP_complete,prediction_kd,303,0.010202180308680373,0.5161290322580645,0.4559716204161285,1.4899265987858656,0.2603188181728927
GROUP_complete,representation_kd,101,-0.14503886777796646,0.6063829787234043,0.46421537881201885,1.4930670786094158,0.1254813021226727
GROUP_complete,representation_kd,202,0.14030515827510667,0.30434782608695654,0.31908237726792044,0.969795154666771,0.21360892339468138
GROUP_complete,representation_kd,303,0.1263278808901387,0.45161290322580644,0.7474795374819028,1.6716608021167978,0.19569366641675703
SPATIAL_complete,combined_kd,101,0.12905901661226823,0.3870967741935484,0.6620367707744721,1.3452863815811373,0.15163210613643519
SPATIAL_complete,combined_kd,202,-0.20394524992665936,0.45161290322580644,1.0396092168746456,2.879832224537348,0.28449403145978047
SPATIAL_complete,combined_kd,303,-0.04253489761967815,0.5483870967741935,0.44682180881500244,1.7260563400378752,0.21204363438618076
SPATIAL_complete,missing_aware,101,-0.09571753688012397,0.5806451612903226,0.7164605721350639,1.3809182823169976,0.12864142039555146
SPATIAL_complete,missing_aware,202,0.11534389514307823,0.41935483870967744,0.4221615483683924,3.19200740908573,0.16663139085324163
SPATIAL_complete,missing_aware,303,0.18951465600536715,0.3870967741935484,0.5834657761358446,2.2352325208785553,0.09797097024042996
SPATIAL_complete,prediction_kd,101,-0.1564706770835384,0.6451612903225806,0.7220453081592437,1.9964628220881306,0.13513741799998982
SPATIAL_complete,prediction_kd,202,-0.025051162073689143,0.5483870967741935,0.4469172223921745,2.9828318650834262,0.17727193103464645
SPATIAL_complete,prediction_kd,303,-0.02891713205460579,0.4838709677419355,0.4627160199226872,2.0233472083064337,0.18274949258371015
SPATIAL_complete,representation_kd,101,-0.01600007603245392,0.5161290322580645,0.33941580595508697,1.381914886480738,0.08395311110390542
SPATIAL_complete,representation_kd,202,-0.02353595250652686,0.6129032258064516,0.8047106689022433,2.635683386256137,0.2385326609501492
SPATIAL_complete,representation_kd,303,0.007411422852546923,0.5161290322580645,0.39535396329818234,3.7327587229440047,0.1624991643512661
