contract,seed,perturbation_group,n_test_samples,n_reference_samples,n_dimensions,reference_scope,covariance,mean_baseline_mahalanobis,mean_perturbed_mahalanobis,mean_baseline_nn_distance,mean_perturbed_nn_distance
GROUP_complete,101,observation_support,94,396,9,NON_TEST_POOL,LEDOIT_WOLF,2.6623638080911296,2.842512199426516,0.731770448671606,0.6878043117116968
GROUP_complete,101,temperature,94,396,9,NON_TEST_POOL,LEDOIT_WOLF,2.6623638080911296,3.827296603810547,0.731770448671606,0.8910514208011207
GROUP_complete,101,water_balance,94,396,9,NON_TEST_POOL,LEDOIT_WOLF,2.6623638080911296,4.149225036059176,0.731770448671606,0.9540845683544377
GROUP_complete,101,radiation,94,396,9,NON_TEST_POOL,LEDOIT_WOLF,2.6623638080911296,5.125591781702434,0.731770448671606,1.062476797095907
GROUP_complete,202,observation_support,115,375,9,NON_TEST_POOL,LEDOIT_WOLF,2.4957231949743184,2.7765003273643525,0.6244629475309192,0.9779862450200928
GROUP_complete,202,temperature,115,375,9,NON_TEST_POOL,LEDOIT_WOLF,2.4957231949743184,4.202345036258426,0.6244629475309192,0.8803549252124369
GROUP_complete,202,water_balance,115,375,9,NON_TEST_POOL,LEDOIT_WOLF,2.4957231949743184,4.999411361776197,0.6244629475309192,1.0164385919316705
GROUP_complete,202,radiation,115,375,9,NON_TEST_POOL,LEDOIT_WOLF,2.4957231949743184,4.646154752016042,0.6244629475309192,1.0356858027036602
GROUP_complete,303,observation_support,93,397,9,NON_TEST_POOL,LEDOIT_WOLF,1.8962909703093003,2.1706657806130716,0.589707936733597,0.6623376815689481
GROUP_complete,303,temperature,93,397,9,NON_TEST_POOL,LEDOIT_WOLF,1.8962909703093003,3.3182104219374136,0.589707936733597,0.7699415433170125
GROUP_complete,303,water_balance,93,397,9,NON_TEST_POOL,LEDOIT_WOLF,1.8962909703093003,3.478016426413709,0.589707936733597,0.7564181534324558
GROUP_complete,303,radiation,93,397,9,NON_TEST_POOL,LEDOIT_WOLF,1.8962909703093003,3.33165133941961,0.589707936733597,0.7659463884313077
SPATIAL_complete,101,observation_support,31,459,9,NON_TEST_POOL,LEDOIT_WOLF,3.0104567242288804,3.8982010205184063,0.8704613402724941,1.0674181450559326
SPATIAL_complete,101,temperature,31,459,9,NON_TEST_POOL,LEDOIT_WOLF,3.0104567242288804,5.801702074384986,0.8704613402724941,1.2066163260666514
SPATIAL_complete,101,water_balance,31,459,9,NON_TEST_POOL,LEDOIT_WOLF,3.0104567242288804,6.112302352385341,0.8704613402724941,1.2408190230145735
SPATIAL_complete,101,radiation,31,459,9,NON_TEST_POOL,LEDOIT_WOLF,3.0104567242288804,7.516959740222351,0.8704613402724941,1.3886444026382476
SPATIAL_complete,202,observation_support,31,459,9,NON_TEST_POOL,LEDOIT_WOLF,3.0104567242288804,3.8982010205184063,0.8704613402724941,1.0674181450559326
SPATIAL_complete,202,temperature,31,459,9,NON_TEST_POOL,LEDOIT_WOLF,3.0104567242288804,5.801702074384986,0.8704613402724941,1.2066163260666514
SPATIAL_complete,202,water_balance,31,459,9,NON_TEST_POOL,LEDOIT_WOLF,3.0104567242288804,6.112302352385341,0.8704613402724941,1.2408190230145735
SPATIAL_complete,202,radiation,31,459,9,NON_TEST_POOL,LEDOIT_WOLF,3.0104567242288804,7.516959740222351,0.8704613402724941,1.3886444026382476
SPATIAL_complete,303,observation_support,31,459,9,NON_TEST_POOL,LEDOIT_WOLF,3.0104567242288804,3.8982010205184063,0.8704613402724941,1.0674181450559326
SPATIAL_complete,303,temperature,31,459,9,NON_TEST_POOL,LEDOIT_WOLF,3.0104567242288804,5.801702074384986,0.8704613402724941,1.2066163260666514
SPATIAL_complete,303,water_balance,31,459,9,NON_TEST_POOL,LEDOIT_WOLF,3.0104567242288804,6.112302352385341,0.8704613402724941,1.2408190230145735
SPATIAL_complete,303,radiation,31,459,9,NON_TEST_POOL,LEDOIT_WOLF,3.0104567242288804,7.516959740222351,0.8704613402724941,1.3886444026382476
