contract,route,n_clusters,mean_delta_support_share,median_delta_support_share,ci_lo,ci_hi,positive_fraction,negative_fraction
GROUP_complete,combined_kd,279,0.07760339303948507,0.08844011176090771,0.06527208990505458,0.0898281353682014,0.8351254480286738,0.16487455197132617
GROUP_complete,missing_aware,279,0.08950208597342194,0.06444050171487599,0.07392060860706806,0.10519630655723783,0.7849462365591398,0.21505376344086022
GROUP_complete,prediction_kd,279,0.06912010511854923,0.05672042549372791,0.056507007237539146,0.08192057649419135,0.7204301075268817,0.27956989247311825
GROUP_complete,representation_kd,279,0.10222797122525584,0.05683573874244738,0.0816135199694036,0.12341461304691456,0.7526881720430108,0.24731182795698925
SPATIAL_complete,combined_kd,31,0.04762998564813799,0.07095285532901033,0.018747499730107697,0.07527373929999191,0.6774193548387096,0.3225806451612903
SPATIAL_complete,missing_aware,31,-0.020702615577155477,-0.019555960050198468,-0.03308011497667114,-0.008982325464372345,0.25806451612903225,0.7419354838709677
SPATIAL_complete,prediction_kd,31,0.0010015635857117816,0.006183580485868996,-0.011477998462707443,0.012765630887317908,0.6129032258064516,0.3870967741935484
SPATIAL_complete,representation_kd,31,-0.003686082784094567,0.0030864402159517684,-0.02031496147642304,0.011470290066400763,0.5161290322580645,0.4838709677419355
